package	format	vectorisation	merge	time
base	.txt	for loop	do.call	1.18618392944336
readr	.txt	for loop	do.call	1.30400991439819
readr	.txt	for loop	do.call	1.17696905136108
readr	.txt	for loop	do.call	1.18062901496887
readr	.txt	for loop	do.call	1.1428918838501
readr	.txt	for loop	do.call	1.16887903213501
readr	.txt	for loop	do.call	1.16273307800293
readr	.txt	for loop	do.call	1.16793084144592
readr	.txt	for loop	do.call	1.1428370475769
readr	.txt	for loop	do.call	1.16760897636414
readr	.txt	for loop	do.call	1.14791202545166
readr	.txt	for loop	do.call	1.26905107498169
readr	.txt	for loop	do.call	1.13230895996094
readr	.txt	for loop	do.call	1.19253206253052
readr	.txt	for loop	do.call	1.1711208820343
readr	.txt	for loop	do.call	1.16195511817932
readr	.txt	for loop	do.call	1.16209888458252
readr	.txt	for loop	do.call	1.15337800979614
readr	.txt	for loop	do.call	1.16839385032654
readr	.txt	for loop	do.call	1.32010912895203
readr	.txt	for loop	do.call	1.16017985343933
readr	.txt	for loop	do.call	1.15627598762512
readr	.txt	for loop	do.call	1.14122915267944
readr	.txt	for loop	do.call	1.14074897766113
readr	.txt	for loop	do.call	1.18235492706299
readr	.txt	for loop	do.call	1.1771399974823
readr	.txt	for loop	do.call	1.23454213142395
readr	.txt	for loop	do.call	1.16828989982605
readr	.txt	for loop	do.call	1.17990589141846
readr	.txt	for loop	do.call	1.24466013908386
readr	.txt	for loop	do.call	1.12962102890015
readr	.txt	for loop	do.call	1.17580389976501
readr	.txt	for loop	do.call	1.16090607643127
readr	.txt	for loop	do.call	1.13614892959595
readr	.txt	for loop	do.call	1.14828896522522
readr	.txt	for loop	do.call	1.23349595069885
readr	.txt	for loop	do.call	1.13726115226746
readr	.txt	for loop	do.call	1.20377802848816
readr	.txt	for loop	do.call	1.12928581237793
readr	.txt	for loop	do.call	1.21872305870056
readr	.txt	for loop	do.call	1.20848894119263
readr	.txt	for loop	do.call	1.16658902168274
readr	.txt	for loop	do.call	1.13560199737549
readr	.txt	for loop	do.call	1.1694221496582
readr	.txt	for loop	do.call	1.15084385871887
readr	.txt	for loop	do.call	1.16182708740234
readr	.txt	for loop	do.call	1.14589881896973
readr	.txt	for loop	do.call	1.23895502090454
readr	.txt	for loop	do.call	1.15059614181519
readr	.txt	for loop	do.call	1.15378904342651
readr	.txt	for loop	do.call	1.12733888626099
readr	.txt	for loop	do.call	1.14339208602905
readr	.txt	for loop	do.call	1.13859605789185
readr	.txt	for loop	do.call	1.15444779396057
readr	.txt	for loop	do.call	1.14268016815186
readr	.txt	for loop	do.call	1.20658993721008
readr	.txt	for loop	do.call	1.1474769115448
readr	.txt	for loop	do.call	1.1342670917511
readr	.txt	for loop	do.call	1.13148093223572
readr	.txt	for loop	do.call	1.14998197555542
readr	.txt	for loop	do.call	1.13079309463501
readr	.txt	for loop	do.call	1.1384289264679
readr	.txt	for loop	do.call	1.13747501373291
readr	.txt	for loop	do.call	1.16475200653076
readr	.txt	for loop	do.call	1.14320492744446
readr	.txt	for loop	do.call	1.47579598426819
readr	.txt	for loop	do.call	1.31052112579346
readr	.txt	for loop	do.call	1.19509601593018
readr	.txt	for loop	do.call	1.1603569984436
readr	.txt	for loop	do.call	1.14002895355225
readr	.txt	for loop	do.call	1.16706991195679
readr	.txt	for loop	do.call	1.14322900772095
readr	.txt	for loop	do.call	1.22749495506287
readr	.txt	for loop	do.call	1.2091109752655
readr	.txt	for loop	do.call	1.15186309814453
readr	.txt	for loop	do.call	1.14969110488892
readr	.txt	for loop	do.call	1.14380693435669
readr	.txt	for loop	do.call	1.1512439250946
readr	.txt	for loop	do.call	1.13622999191284
readr	.txt	for loop	do.call	1.15291810035706
readr	.txt	for loop	do.call	1.15204286575317
readr	.txt	for loop	do.call	1.15690612792969
readr	.txt	for loop	do.call	1.1740620136261
readr	.txt	for loop	do.call	1.23782300949097
readr	.txt	for loop	do.call	1.2923469543457
readr	.txt	for loop	do.call	1.3033709526062
readr	.txt	for loop	do.call	1.29520201683044
readr	.txt	for loop	do.call	1.19403409957886
readr	.txt	for loop	do.call	1.1780309677124
readr	.txt	for loop	do.call	1.15673494338989
readr	.txt	for loop	do.call	1.14112496376038
readr	.txt	for loop	do.call	1.19633197784424
readr	.txt	for loop	do.call	1.15793800354004
readr	.txt	for loop	do.call	1.17077898979187
readr	.txt	for loop	do.call	1.14148616790771
readr	.txt	for loop	do.call	1.1557948589325
